"p","U:0","U:1","U:2","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.9368054271,-0.01372445095,3.387704611,-4.379772063e-20,2102,1,8.756349564,23.45249939,-27.83411217,0
0.9304199815,-0.01338712312,3.389485359,-4.187978283e-20,2102,1,8.825297356,23.45999908,-27.7655735,0
0.9241493344,-0.0130553646,3.391215801,-3.659906503e-20,6502,1,8.894245148,23.46750069,-27.69703484,0
0.9179263711,-0.01272520144,3.39291501,-2.934684625e-20,6502,1,8.96319294,23.47500038,-27.62849617,0
0.911701858,-0.01239331625,3.394598007,-2.159461618e-20,6502,1,9.032140732,23.48250008,-27.5599575,0
0.9054759145,-0.01205970999,3.396264315,-1.334272378e-20,6502,1,9.101088524,23.48999977,-27.49141884,0
0.8992485404,-0.01172438264,3.397914171,-4.5915261e-21,6502,1,9.170036316,23.49749947,-27.42288017,0
0.893019855,-0.01138735097,3.399547338,4.658356073e-21,6502,1,9.238982201,23.50499916,-27.35434341,0
0.8867894411,-0.01104863454,3.401164293,1.440712913e-20,6502,1,9.307929993,23.51250076,-27.28580475,0
0.8805741072,-0.01067316625,3.402739763,1.798876464e-20,2092,1,9.376877785,23.52000046,-27.21726608,0
0.8743755221,-0.01025007386,3.404266834,1.28251244e-20,2092,1,9.445825577,23.52750015,-27.14872742,0
0.8681708574,-0.009825073183,3.405777454,7.428165103e-21,2092,1,9.514773369,23.53499985,-27.08018875,0
0.8619600534,-0.009398165159,3.407271624,1.798146461e-21,2092,1,9.583721161,23.54249954,-27.01165009,0
0.8557432294,-0.008969352581,3.40874958,-4.064675461e-21,2092,1,9.652668953,23.54999924,-26.94311142,0
0.8495202065,-0.008538684808,3.410211086,-1.015982245e-20,2092,1,9.721616745,23.55750084,-26.87457275,0
0.843291223,-0.008106069639,3.41165638,-1.648750776e-20,2092,1,9.790564537,23.56500053,-26.80603409,0
0.8370463848,-0.007668114267,3.413090467,-2.118995684e-20,6492,1,9.859512329,23.57250023,-26.73749542,0
0.8307142258,-0.007201223634,3.414548635,-1.125678592e-20,6492,1,9.928460121,23.57999992,-26.66895676,0
0.8243603706,-0.006710106041,3.41492939,-1.843512753e-21,4292,1,9.997407913,23.58749962,-26.60041809,0
0.8179870844,-0.006203612313,3.414586306,6.645767355e-21,4292,1,10.0663538,23.59499931,-26.53188133,0
0.811599791,-0.005696584005,3.414195061,1.436876055e-20,4292,1,10.13530159,23.60250092,-26.46334267,0
0.805198729,-0.00518896617,3.413756132,2.132695701e-20,4292,1,10.20424938,23.61000061,-26.394804,0
0.798783958,-0.004680795595,3.413269043,2.752056717e-20,4292,1,10.27319717,23.61750031,-26.32626534,0
0.7923553586,-0.004172073677,3.41273427,3.295030026e-20,4292,1,10.34214497,23.625,-26.25772667,0
0.7857574224,-0.003549825167,3.412154913,3.642639431e-20,8665,1,10.41109276,23.63249969,-26.189188,0
0.7790837288,-0.002885078778,3.411533117,4.015019017e-20,8665,1,10.48004055,23.63999939,-26.12064934,0
0.7723901868,-0.002218980109,3.410868168,4.477855327e-20,8665,1,10.54898834,23.64749908,-26.05211067,0
0.7656767964,-0.001551570604,3.410159349,5.031001343e-20,8665,1,10.61793613,23.65500069,-25.98357201,0
0.7589437962,-0.0008827721467,3.409407616,5.674450601e-20,8665,1,10.68688393,23.66250038,-25.91503334,0
0.7521910071,-0.0002126261534,3.408612967,6.408046067e-20,8665,1,10.75583172,23.67000008,-25.84649467,0
0.7454187274,0.0004588428128,3.407775402,7.231658817e-20,8665,1,10.8247776,23.67749977,-25.77795792,0
0.7385302782,0.001153997262,3.406953335,7.418373515e-20,4282,1,10.8937254,23.68499947,-25.70941925,0
0.7313845158,0.001901584095,3.406234026,5.905532552e-20,4282,1,10.96267319,23.69249916,-25.64088058,0
0.7242109179,0.002646207344,3.405477285,4.427376307e-20,4282,1,11.03162098,23.70000076,-25.57234192,0
